[jiaren|0150 ¼ÙÈËÅäÖÃÊÒ] KILLFUNC(1) SAFE QUIZ

[G002 Õæ°®ÖÊÑ¯ÎÝ] FIGHT DAY
[M100A|M100 °®Çé³¤ÀÈ] NORECONNECT(G002) NORANDOMMOVE NORECALL NOPOSITIONMOVE DAY
[M100B|M100 °®Çé³¤ÀÈ] NORECONNECT(G002) NORANDOMMOVE NORECALL NOPOSITIONMOVE DAY
[M100C|M100 °®Çé³¤ÀÈ] NORECONNECT(G002) NORANDOMMOVE NORECALL NOPOSITIONMOVE DAY
[F002 °®µÄÐ¡ÎÝ] NORECONNECT(M100A) NORECALL NOPOSITIONMOVE NORANDOMMOVE DAY
[B013 ¶Ä³¡] SAFE NORANDOMMOVE
[B013A|B013 ¶Ä³¡] SAFE NORANDOMMOVE
[DB|DM011 µ£±£µØÍ¼] NORECONNECT(0)
[GA0 ×¯Ô°] SAFE DAY STALL
[GA2 ±ÈÎä³¡] DAY
[N109 ÊÀÍâÌÒÔ´] DAY
[0147	¼àÓü] NORECALL NORANDOMMOVE NOPOSITIONMOVE NOTALLOWUSEMAGIC(Ò°Âù³å×²|Ë²Ï¢ÒÆ¶¯) NOTALLOWUSEITEMS(»Ø³Ç¾í|µØÀÎÌÓÍÑ¾í|ÃËÖØ´«ËÍÊ¯|±ÈÆæ´«ËÍÊ¯) SAFE
[T2361	Ð¡ºÚÎÝ] NORECALL NORANDOMMOVE NOPOSITIONMOVE NOTALLOWUSEMAGIC(Ò°Âù³å×²|Ë²Ï¢ÒÆ¶¯) NOTALLOWUSEITEMS(»Ø³Ç¾í|µØÀÎÌÓÍÑ¾í|ÃËÖØ´«ËÍÊ¯|±ÈÆæ´«ËÍÊ¯) SAFE
[Q001 ÓÂ¶·ËÂµî] NORECONNECT(1) DAY
[T118 ÃüÔËÇôÁý] NORECONNECT(0114) DAY
[G003 Âê·¨×ãÇò³¡] SAFE DAY
[F003 ÐÐ»áÕ½µØÍ¼] Fight2 DAY
[F005 ÐÐ»áÕ½µØÍ¼] Fight2 NORANDOMMOVE DAY
[ZM6|D5071 ÐÐ»áÕù°ÔµØÍ¼] Fight5 NORECONNECT(3) NORANDOMMOVE DAY

M100A	29,81	->	M100B	287,282
Q013	23,23	->	Q013	39,23

Q013	30,15	->	Q013	14,15
Q013	34,15	->	Q013	50,15
Q013	39,15	->	Q013	55,15
Q013	30,19	->	Q013	46,19
Q013	34,19	->	Q013	50,19
Q013	39,19	->	Q013	55,19
Q013	30,23	->	Q013	46,23
Q013	34,23	->	Q013	50,23
Q013	39,23	->	Q013	55,23

Q013	46,15	->	Q013	46,31
Q013	50,15	->	Q013	34,15
Q013	55,15	->	Q013	55,31
Q013	46,19	->	Q013	46,35
Q013	50,19	->	Q013	50,35
Q013	55,19	->	Q013	55,35
Q013	46,23	->	Q013	46,39
Q013	50,23	->	Q013	50,39
Q013	55,23	->	Q013	55,39

Q013	46,31	->	Q013	46,47
Q013	50,31	->	Q013	50,47
Q013	55,31	->	Q013	55,47
Q013	46,35	->	Q013	46,19
Q013	50,35	->	Q013	50,51
Q013	55,35	->	Q013	55,51
Q013	46,39	->	Q013	46,55
Q013	50,39	->	Q013	50,55
Q013	55,39	->	Q013	55,55

Q013	46,47	->	Q013	30,47
Q013	50,47	->	Q013	34,47
Q013	55,47	->	Q013	39,47
Q013	46,51	->	Q013	30,51
Q013	50,51	->	Q013	34,51
Q013	55,51	->	Q013	39,51
Q013	46,55	->	Q013	46,39
Q013	50,55	->	Q013	34,55
Q013	55,55	->	Q013	39,55

Q013	30,47	->	Q013	14,47
Q013	34,47	->	Q013	18,47
Q013	39,47	->	Q013	23,47
Q013	30,51	->	Q013	14,51
Q013	34,51	->	Q013	18,51
Q013	39,51	->	Q013	23,51
Q013	30,55	->	Q013	14,55
Q013	34,55	->	Q013	18,55
Q013	39,55	->	Q013	23,55

Q013	14,47	->	Q013	14,31
Q013	18,47	->	Q013	18,31
Q013	23,47	->	Q013	23,31
Q013	14,51	->	Q013	14,35
Q013	18,51	->	Q013	18,35
Q013	23,51	->	Q013	23,35
Q013	14,55	->	Q013	14,39
Q013	18,55	->	Q013	18,39
Q013	23,55	->	Q013	23,39

Q013	14,31	->	Q013	14,15
Q013	18,31	->	Q013	18,15
Q013	23,31	->	Q013	23,15
Q013	14,35	->	Q013	14,19
Q013	18,35	->	Q013	18,19
Q013	23,35	->	Q013	23,19
Q013	14,39	->	Q013	14,23
Q013	18,39	->	Q013	18,23
Q013	23,39	->	Q013	23,23

Q014	14,15	->	Q014	30,15
Q014	18,15	->	Q014	34,15
Q014	23,15	->	Q014	39,15
Q014	14,19	->	Q014	30,19
Q014	18,19	->	Q014	34,19
Q014	23,19	->	Q014	39,19
Q014	14,23	->	Q014	30,23
Q014	18,23	->	Q014	34,23
Q014	23,23	->	Q014	39,23

Q014	30,15	->	Q014	46,15
Q014	34,15	->	Q014	50,15
Q014	39,15	->	Q014	55,15
Q014	30,19	->	Q014	46,19
Q014	34,19	->	Q014	50,19
Q014	39,19	->	Q014	55,19
Q014	30,23	->	Q014	46,23
Q014	34,23	->	Q014	50,23
Q014	39,23	->	Q014	55,23

Q014	46,15	->	Q014	46,31
Q014	50,15	->	Q014	50,31
Q014	55,15	->	Q014	55,31
Q014	46,19	->	Q014	46,35
Q014	50,19	->	Q014	50,35
Q014	55,19	->	Q014	55,35
Q014	46,23	->	Q014	46,39
Q014	50,23	->	Q014	50,39
Q014	55,23	->	Q014	39,39

Q014	46,31	->	Q014	46,47
Q014	50,31	->	Q014	50,47
Q014	55,31	->	Q014	55,15
Q014	46,35	->	Q014	46,51
Q014	50,35	->	Q014	50,51
Q014	55,35	->	Q014	55,51
Q014	46,39	->	Q014	46,55
Q014	50,39	->	Q014	50,55
Q014	55,39	->	Q014	55,55

Q014	46,47	->	Q014	30,47
Q014	50,47	->	Q014	34,47
Q014	55,47	->	Q014	39,47
Q014	46,51	->	Q014	30,51
Q014	50,51	->	Q014	34,51
Q014	55,51	->	Q014	39,51
Q014	46,55	->	Q014	46,39
Q014	50,55	->	Q014	34,55
Q014	55,55	->	Q014	39,55

Q014	30,47	->	Q014	14,47
Q014	34,47	->	Q014	18,47
Q014	39,47	->	Q014	23,47
Q014	30,51	->	Q014	14,51
Q014	34,51	->	Q014	18,51
Q014	39,51	->	Q014	23,51
Q014	30,55	->	Q014	14,55
Q014	34,55	->	Q014	18,55
Q014	39,55	->	Q014	23,55

Q014	14,47	->	Q014	14,31
Q014	18,47	->	Q014	18,31
Q014	23,47	->	Q014	23,31
Q014	14,51	->	Q014	14,35
Q014	18,51	->	Q014	18,35
Q014	23,51	->	Q014	23,35
Q014	14,55	->	Q014	14,39
Q014	18,55	->	Q014	18,39
Q014	23,55	->	Q014	23,39

Q014	14,31	->	Q014	14,15
Q014	18,31	->	Q014	18,15
Q014	23,31	->	Q014	23,15
Q014	14,35	->	Q014	14,19
Q014	18,35	->	Q014	18,19
Q014	23,35	->	Q014	23,19
Q014	14,39	->	Q014	14,23
Q014	18,39	->	Q014	18,23
Q014	23,39	->	Q014	23,23

Q014	34,35	->	Q015	9,20

[0	±ÈÆæÊ¡] DAY
[0122	»Ê¹¬]
[0110	ÑÐ¾¿Ôº]	FIGHT
[0111	ÑÐ¾¿Ôº]	FIGHT
[0112	ÑÐ¾¿Ôº]	FIGHT
[0102	Èâµê]
[0108	Ò©µê]	FIGHT
[0109	Á¶Ò©·¿]	FIGHT
[0104	¼¼ÄÜÊéµê]	FIGHT
[0107	Ë®ÃÀ¾Æµê]	FIGHT
[0125	¶«·½¿ÍÕ»]	FIGHT
[0126	¶«·½¿ÍÕ»¶þ²ã ]	FIGHT
[0103	ÌúÆ÷µê]	FIGHT
[0105	Ê×ÊÎµê]	FIGHT
[0106	ÒÂ·þµê]	FIGHT
[0101	¿ÍÕ»]	FIGHT
[0100	³ø·¿]	FIGHT
[0128	·¿ÎÝ]	FIGHT 
[0129	·¿ÎÝ]	FIGHT
[0123	·¿ÎÝ]	FIGHT
[0124	·¿ÎÝ]	FIGHT
[0114	¸ß¼¶ÎäÊ¿Ö®¼Ò]	FIGHT
[0115	¸ß¼¶Ä§·¨Ê¦Ö®¼Ò]	FIGHT
[0113	¸ß¼¶µÀÊ¿Ö®¼Ò]	FIGHT
[0137	¾º¼¼³¡]	FIGHT

0          346,186              ->         0122       11,41
0          347,186              ->         0122       12,42
0          348,187              ->         0122       13,43
0122       11,42                ->         0          346,187
0122      12,43                ->         0          348,188
0122       13,44                ->         0          347,187

0          395,229              ->         0110       11,15
0          396,229              ->         0110       10,16
0          400,225              ->         0111       10,16
0          399,225              ->         0111       11,15
0          403,221              ->         0112       11,15
0          404,221              ->         0112       10,16
0110       12,15                ->         0          396,230
0110       11,16                ->         0          397,230
0111       12,15                ->         0          400,226
0111       11,16                ->         0          401,226
0112       11,16                ->         0          404,222
0112       12,15                ->         0          404,222

0          308,264              ->         0102       3,7
0102       3,8                  ->         0          308,265

0          326,288              ->         0108       10,12
0108       10,13                ->         0          326,289

0108       4,15                 ->         0109       7,6
0109       8,6                  ->         0108       4,14

0          323,247              ->         0104       4,10
0104       4,11                 ->         0          323,248

0          354,319              ->         0107       9,13
0107       10,13                ->         0          354,320

0          295,250              ->         0125       8,16
0          296,250              ->         0125       8,16
0          296,251              ->         0125       7,16
0125       7,17                 ->         0          295,251
0125       8,17                 ->         0          296,252

0125       4,10                 ->         0126       3,9
0126       3,10                 ->         0125       5,11

0          335,299              ->         0103       5,12
0          335,300              ->         0103       6,12
0103       4,13                 ->         0          334,300
0103       5,13                 ->         0          334,301
0          344,308              ->         0103       17,24
0          345,308              ->         0103       18,24
0103       16,25                ->         0          345,310
0103       17,25                ->         0          344,309

0          295,284              ->         0105       8,24
0          295,285              ->         0105       9,23
0105       9,25                 ->         0          295,286
0105       9,24                 ->         0          296,285
0          305,275              ->         0105       20,12
0          305,276              ->         0105       21,11
0105       21,12                ->         0          306,276
0105       21,13                ->         0          306,277

0          307,310              ->         0106       8,24
0          307,311              ->         0106       9,23
0106       9,25                 ->         0          307,312
0106       9,24                 ->         0          308,311
0          317,301              ->         0106       21,11
0          317,302              ->         0106       20,12
0106       21,13                ->         0          318,302
0106       21,12                ->         0          318,303

0          286,295              ->         0101       9,22
0101       10,22                ->         0          287,296
0          289,292              ->         0101       17,14
0101       18,14                ->         0          290,293

0101       3,19                 ->         0100       11,13
0100       11,14                ->         0101       3,20

0          278,239              ->         0128       6,8
0128       6,9                  ->         0          278,240
0          285,236              ->         0129       2,6
0129       2,7                  ->         0          284,237

0          271,256              ->         0123       13,17
0123       12,18                ->         0          270,257

0          283,268              ->         0124       7,12
0124       6,13                 ->         0          282,268

0          107,316              ->         0114       15,16
0114       15,17                ->         0          107,317

0          314,474              ->         0115       17,20
0115       17,21                ->         0          315,475

0          544,560              ->         0113       13,15
0113       13,16                ->         0          544,561

0          414,242              ->         0137       19,20
0          415,241              ->         0137       18,21
0          416,240              ->         0137       17,22
0137       18,23                ->         0          416,245
0137       19,22                ->         0          417,244
0137       20,21                ->         0          418,243

[0135	·¿ÎÝ]	FIGHT
[0134	·¿ÎÝ]	FIGHT
[0133	·¿ÎÝ]	FIGHT
[0119	ÒøÐÓ´åÒ©µê]	FIGHT
[0118	·¿ÎÝ]	FIGHT
0          625,620              ->         0135       9,9
0135       9,10                 ->         0          625,621
0          622,639              ->         0134       6,12
0134       6,13                 ->         0          623,640
0          629,645              ->         0133       3,8
0133       2,8                  ->         0          629,646
0119       4,7                  ->         0118       8,11
0119       5,7                  ->         0118       7,12
0118       8,12                 ->         0119       4,8
0118       9,11                 ->         0119       5,8
0          650,616              ->         0118       3,13
0118       2,14                 ->         0          649,617

[0121	·¿ÎÝ]	FIGHT
[0127	¼àÓü]	FIGHT
[0130	·¿ÎÝ]	FIGHT
[0131	·¿ÎÝ]	FIGHT
[0136	·¿ÎÝ]	FIGHT
[0132	·¿ÎÝ]	FIGHT
[0138	·¿ÎÝ]	FIGHT
[0141	ÔÓ»õµê]	FIGHT
[0140	²Ö¿â]	FIGHT

0          309,613              ->         0121       3,16
0121       2,16                 ->         0          308,614
0          266,630              ->         0130       7,11
0130       8,12                 ->         0          267,630
0          272,621              ->         0131       5,15
0131       4,16                 ->         0          271,622

0          295,649              ->         0136       3,19
0136       2,20                 ->         0          294,650

0          282,636              ->         0132       13,15
0          282,635              ->         0132       14,15
0          283,635              ->         0132       15,14
0132       14,16                ->         0          283,637
0132       15,15                ->         0          283,636
0132       16,14                ->         0          284,636

0          274,636              ->         0138       5,10
0138       4,10                 ->         0          273,637

0          302,622              ->         0141       2,11
0          311,631              ->         0141       17,26
0141       2,12                 ->         0          302,623
0141       17,27                ->         0          311,632

0          307,627              ->         0140       2,10
0140       2,11                 ->         0          306,628

[D001	ÊÞÈË¹ÅÄ¹Ò»²ã]
[D002	ÊÞÈË¹ÅÄ¹¶þ²ã]
[DM001	ÉÌµê]	FIGHT
[DM002	¹úÍõÁêÄ¹]
[D003	ÊÞÈË¹ÅÄ¹Èý²ã]

0   147,33    -> D001   151,362
D001  149,364 -> 0      147,34
D001  150,364 -> 0      147,34
D001  148,366 -> 0      147,34

D001  30,328  -> D002   34,323
D002  34,322  -> D001   30,329

D001  381,23  -> D002   324,16
D002  324,15  -> D001   381,24

D001  350,356 -> D002   367,351
D002  367,350 -> D001   350,357

D002  191,231 -> DM001  5,10
DM001 6,10    -> D002   191,232

D002  225,175 -> DM002  8,28
DM002 7,28    -> D002  225,176

D002  117,95  -> D003  106,83
D003  106,82  -> D002  117,96

[D011	ÌìÈ»¶´Ñ¨Ò»²ã]
[D012	ÌìÈ»¶´Ñ¨¶þ²ã]
[DM011	ÉÌµê]	FIGHT

0          41,108               ->         D011       154,367
0          41,109               ->         D011       153,367
D011       155,368              ->         0          42,109
D011       155,367              ->         0          42,108

D011       330,115              ->         D012       337,105
D012       337,104              ->         D011       330,116
D011       127,201              ->         D012       77,198
D012       77,197               ->         D011       127,202

D012       189,144              ->         DM011      5,10
DM011      6,10                 ->         D012       189,145

[1	ÎÖÂêÉ­ÁÖ] DAY
0          324,34               ->         1          559,553
0          325,34               ->         1          560,553
0          325,35               ->         1          560,554
0          326,35               ->         1          561,554
0          326,36               ->         1          561,555
0          327,36               ->         1          562,555
0          327,37               ->         1          562,556
0          328,37               ->         1          563,556
0          328,38               ->         1          563,557
0          325,33               ->         1          560,552
0          326,33               ->         1          561,552
0          326,34               ->         1          561,553
0          327,34               ->         1          562,553
0          327,35               ->         1          562,554
0          328,35               ->         1          563,554
0          328,36               ->         1          563,555
0          329,36               ->         1          564,555
0          329,37               ->         1          564,556

1          559,554              ->         0          324,35
1          559,555              ->         0          324,36
1          560,555              ->         0          325,36
1          560,556              ->         0          325,37
1          561,556              ->         0          326,37
1          561,557              ->         0          326,38
1          562,557              ->         0          327,38
1          562,558              ->         0          327,39
1          563,558              ->         0          328,39
1          558,555              ->         0          323,36
1          558,556              ->         0          323,37
1          559,556              ->         0          324,37
1          559,557              ->         0          324,38
1          560,557              ->         0          325,38
1          560,558              ->         0          325,39
1          561,558              ->         0          326,39
1          561,559              ->         0          326,40
1          562,559              ->         0          327,40

[D021	ÎÖÂêËÂÃíÈë¿Ú] DARK
[D022	ÎÖÂêËÂÃíÒ»²ã] DARK
[D023	ÎÖÂêËÂÃí¶þ²ã] DARK
[D024	ÎÖÂê½ÌÖ÷´óµî] DARK NORECALL NORANDOMMOVE  NORECONNECT(D023)

1          84,277               ->         D021       76,74
1          84,278               ->         D021       76,75
D021       77,75                ->         1          85,278
D021       77,76                ->         1          85,279

D021       26,27                ->         D022       338,356
D021       26,26                ->         D022       339,355
D022       338,355              ->         D021       25,26
D022       338,354              ->         D021       25,25

D022       251,207              ->         D023       198,195
D022       251,206              ->         D023       199,194
D023       198,194              ->         D022       250,206
D023       198,193              ->         D022       250,205

D023       52,366               ->         D024       16,19
D024       16,18                ->         D023       51,365

[2	¶¾ÉßÉ½¹È] DAY
0          671,82               ->         2          414,563
0          672,82               ->         2          415,563
0          672,83               ->         2          415,564
0          673,83               ->         2          416,564
0          673,84               ->         2          416,565
0          674,84               ->         2          417,565
0          674,85               ->         2          417,566
0          675,85               ->         2          418,566
0          675,86               ->         2          418,567

0          672,81               ->         2          415,562
0          673,81               ->         2          416,562
0          673,82               ->         2          416,563
0          674,82               ->         2          417,563
0          674,83               ->         2          417,564
0          675,83               ->         2          418,564
0          675,84               ->         2          418,565
0          676,84               ->         2          419,565
0          676,85               ->         2          419,566


2          413,564              ->         0          670,83
2          413,565              ->         0          670,84
2          414,546              ->         0          671,85
2          415,566              ->         0          672,85
2          415,567              ->         0          672,86
2          416,567              ->         0          673,86
2          416,568              ->         0          673,87
2          417,568              ->         0          674,87
2          412,565              ->         0          669,84
2          412,566              ->         0          669,85

2          413,547              ->         0          670,86
2          414,567              ->         0          671,86
2          414,568              ->         0          671,87
2          415,568              ->         0          672,87
2          415,569              ->         0          672,88
2          416,569              ->         0          673,88

[0116	¿ÍÕ»]	FIGHT
[0117	Ò©µê]	FIGHT
[0120	ÎäÆ÷µê]	FIGHT
[0142	·¿ÎÝ]	FIGHT

2          523,473              ->         0116       10,23
2          523,474              ->         0116       11,24
0116       9,23                 ->         2          522,474
0116       10,24                ->         2          522,475

2          504,498              ->         0117       10,16
0117       10,17                ->         2          505,498

2          516,492              ->         0120       14,14
0120       14,15                ->         2          517,492

2          511,462              ->         0142       9,9
0142       9,10                 ->         2          512,462

[D401	·Ï¿óÈë¿Ú] MINE CHECKQUEST(Q001)
[D411	¿óÇøBÒ»²ã]
[D413	¿óÇøAÒ»²ã]
[D402	·Ï¿óÇø¶«²¿]
[D414	¿óÇøCÒ»²ã]
[D403	¿óÇøÒ»²ã]
[D412	ÇÅ]
[D404	¿óÇøB¶þ²ã]
[D416	ÇÅ]
[D405	¿óÎï»ØÊÕÕ¾]
[D415	ÇÅ]
[D406	·Ï¿óÇøÄÏ²¿]

0          664,212              ->         D401       25,181
0          664,213              ->         D401       25,181
D401       24,182               ->         0          664,214

D401       76,15                ->         D411       59,8
D411       60,7                 ->         D401       77,14

D401       179,109              ->         D413       11,8
D413       10,7                 ->         D401       179,108

D413       86,9                 ->         D402       9,146
D402       8,147                ->         D413       85,10

D402       195,81               ->         D414       15,78
D414       14,79                ->         D402       194,82

D403       10,106               ->         D414       70,20
D414       71,19                ->         D403       11,105

D403       121,191              ->         D412       55,24
D412       54,23                ->         D403       120,190

D404       129,42               ->         D412       52,53
D412       53,52                ->         D404       130,42

D404       9,152                ->         D416       89,17
D416       90,16                ->         D404       10,151

D405       166,138              ->         D416       7,55
D416       6,54                 ->         D405       165,137

D405       11,148               ->         D415       83,17
D415       84,16                ->         D405       12,147

D406       186,119              ->         D415       9,85
D415       8,86                 ->         D406       185,120

D406       23,15                ->         D411       94,48
D411       95,49                ->         D406       24,16

[D421	É½¹È¿óÇøÒ»²ã]
[D422	É½¹È¿óÇø¶þ²ã]

2          564,169              ->         D421       30,374
D421       30,375               ->         2          564,171

D421       361,19               ->         D422       22,41
D422       22,42                ->         D421       361,20

[Q004	Ê¬Íõµî]	NEEDHOLE NORECALL  NORECONNECT(D406)

D402	138,107	->	Q004	14,14
D402	138,108	->	Q004	14,14
D402	137,107	->	Q004	14,14
D402	137,108	->	Q004	14,14

[3	ÃËÖØÊ¡] DAY

2          296,58               ->         3          273,750
2          297,58               ->         3          274,750
2          297,59               ->         3          274,751
2          298,59               ->         3          275,751
2          298,50               ->         3          275,752
2          299,50               ->         3          276,752
2          299,61               ->         3          276,753

2          297,57               ->         3          274,749
2          298,57               ->         3          275,749
2          298,58               ->         3          275,750
2          299,58               ->         3          276,750
2          299,59               ->         3          276,751
2          300,59               ->         3          277,751
2          300,60               ->         3          277,752

3          272,751              ->         2          295,59
3          272,752              ->         2          295,60
3          273,752              ->         2          296,60
3          273,753              ->         2          296,61
3          274,753              ->         2          297,61
3          274,754              ->         2          297,62
3          275,754              ->         2          298,62

3          271,752              ->         2          294,60
3          271,753              ->         2          294,61
3          272,753              ->         2          295,61
3          272,754              ->         2          295,62
3          273,754              ->         2          296,62
3          273,755              ->         2          296,63
3          274,755              ->         2          297,63


2          557,74               ->         3          512,774
2          558,74               ->         3          513,774
2          558,75               ->         3          513,775
2          559,75               ->         3          514,775
2          559,76               ->         3          514,776
2          560,76               ->         3          515,776
2          560,77               ->         3          515,777
2          561,77               ->         3          516,777
2          561,78               ->         3          516,778

2          558,73               ->         3          513,773
2          559,73               ->         3          514,773
2          559,74               ->         3          514,774
2          550,74               ->         3          515,774
2          550,75               ->         3          515,775
2          561,75               ->         3          516,775
2          561,76               ->         3          516,776
2          562,76               ->         3          517,776
2          562,77               ->         3          517,777


3          511,775              ->         2          556,75
3          511,776              ->         2          556,76
3          512,776              ->         2          557,76
3          512,777              ->         2          557,77
3          513,777              ->         2          558,77
3          513,778              ->         2          558,78
3          514,778              ->         2          559,78
3          514,779              ->         2          559,79
3          515,779              ->         2          560,79

3          510,776              ->         2          555,76
3          510,777              ->         2          555,77
3          511,777              ->         2          556,77
3          511,778              ->         2          556,78
3          512,778              ->         2          557,78
3          512,779              ->         2          557,79
3          513,779              ->         2          558,79
3          513,780              ->         2          558,80
3          514,780              ->         2          559,80

[0143	Ãñ·¿	]	FIGHT
[0144	Ãñ·¿	]	FIGHT
[0145	²Ö¿â	]	FIGHT
[0146	²Ö¿â¶þÂ¥]	FIGHT
